x,y
讖,cham3
蕁,cham4
尋,cham4
鱘,cham4
嗔,chan1
瞋,chan1
親,chan1
哂,chan2
診,chan2
縝,chan2
趁,chan3
齔,chan3
陳,chan4
曾,chang4
層,chang4
緝,chap1
輯,chap1
葺,chap1
七,chat1
柒,chat1
抽,chau1
鰍,chau1
秋,chau1
楸,chau1
鞦,chau1
丑,chau2
嗅,chau3
糗,chau3
溴,chau3
臭,chau3
惆,chau4
綢,chau4
酬,chau4
疇,chau4
躊,chau4
囚,chau4
泅,chau4
仇,chau4
儔,chau4
遒,chau4
稠,chau4
奢,che1
且,che2
邪,che4
輋,che4
呎,chek3
尺,chek3
綽,cheuk3
卓,cheuk3
戳,cheuk3
菖,cheung1
槍,cheung1
鯧,cheung1
嗆,cheung1
昌,cheung1
戧,cheung1
猖,cheung1
倀,cheung1
鏘,cheung1
娼,cheung1
搶,cheung2
蹌,cheung3
悵,cheung3
倡,cheung3
熗,cheung3
翔,cheung4
薔,cheung4
祥,cheung4
場,cheung4
戕,cheung4
長,cheung4
檣,cheung4
詳,cheung4
腸,cheung4
眵,chi1
雌,chi1
鴟,chi1
跐,chi1
魑,chi1
疵,chi1
嗤,chi1
癡,chi1
螭,chi1
哧,chi1
蚩,chi1
笞,chi1
矢,chi2
豕,chi2
褫,chi2
侈,chi2
此,chi2
恥,chi2
始,chi2
齒,chi2
賜,chi3
幟,chi3
熾,chi3
刺,chi3
翅,chi3
廁,chi3
次,chi3
磁,chi4
詞,chi4
辭,chi4
池,chi4
墀,chi4
慈,chi4
馳,chi4
篪,chi4
祠,chi4
瓷,chi4
弛,chi4
糍,chi4
踟,chi4
茌,chi4
臍,chi4
持,chi4
匙,chi4
柿,chi5
斥,chik1
戚,chik1
叱,chik1
彳,chik1
敕,chik1
籤,chim1
纖,chim1
殲,chim1
諂,chim2
塹,chim3
僭,chim3
暹,chim3
潛,chim4
遷,chin1
阡,chin1
仟,chin1
韆,chin1
千,chin1
淺,chin2
前,chin4
纏,chin4
錢,chin4
踐,chin5
蟶,ching1
氰,ching1
清,ching1
鯖,ching1
稱,ching1
蜻,ching1
青,ching1
逞,ching2
拯,ching2
騁,ching2
請,ching2
情,ching4
懲,ching4
程,ching4
澄,ching4
呈,ching4
晴,ching4
澂,ching4
妾,chip3
轍,chit3
澈,chit3
設,chit3
徹,chit3
撤,chit3
釗,chiu1
昭,chiu1
鍬,chiu1
超,chiu1
悄,chiu2
肖,chiu3
峭,chiu3
俏,chiu3
鞘,chiu3
朝,chiu4
樵,chiu4
憔,chiu4
潮,chiu4
瞧,chiu4
粗,cho1
操,cho1
草,cho2
醋,cho3
糙,cho3
措,cho3
燥,cho3
噪,cho3
曹,cho4
漕,cho4
槽,cho4
初,choh1
雛,choh1
搓,choh1
磋,choh1
芻,choh1
楚,choh2
礎,choh2
銼,choh3
錯,choh3
挫,choh3
採,choi2
彩,choi2
綵,choi2
采,choi2
菜,choi3
賽,choi3
蔡,choi3
塞,choi3
裁,choi4
材,choi4
財,choi4
才,choi4
滄,chong1
傖,chong1
創,chong1
倉,chong1
艙,chong1
瘡,chong1
蒼,chong1
敞,chong2
廠,chong2
闖,chong2
氅,chong2
藏,chong4
櫥,chue1
躇,chue1
杵,chue2
貯,chue2
蹰,chue4
廚,chue4
柱,chue5
署,chue5
苧,chue5
佇,chue5
曙,chue5
褚,chue5
汆,chuen1
川,chuen1
村,chuen1
躥,chuen1
穿,chuen1
喘,chuen2
忖,chuen2
攛,chuen2
爨,chuen3
吋,chuen3
寸,chuen3
竄,chuen3
醛,chuen4
痊,chuen4
全,chuen4
傳,chuen4
荃,chuen4
輇,chuen4
筌,chuen4
銓,chuen4
存,chuen4
詮,chuen4
泉,chuen4
踅,chuet3
猝,chuet3
撮,chuet3
摧,chui1
炊,chui1
趨,chui1
崔,chui1
催,chui1
璀,chui1
取,chui2
娶,chui2
翠,chui3
脆,chui3
啐,chui3
趣,chui3
覷,chui3
焠,chui3
淬,chui3
蜍,chui4
隋,chui4
錘,chui4
捶,chui4
徐,chui4
隨,chui4
滁,chui4
槌,chui4
簇,chuk1
蓄,chuk1
蹙,chuk1
矗,chuk1
束,chuk1
搐,chuk1
畜,chuk1
亍,chuk1
速,chuk1
簌,chuk1
蹴,chuk1
齪,chuk1
促,chuk1
觸,chuk1
秦,chun4
嗪,chun4
巡,chun4
螓,chun4
循,chun4
旬,chun4
馴,chun4
匆,chung1
忡,chung1
驄,chung1
衝,chung1
充,chung1
沖,chung1
囪,chung1
憧,chung1
樅,chung1
蔥,chung1
聰,chung1
寵,chung2
冢,chung2
重,chung4
叢,chung4
從,chung4
松,chung4
琮,chung4
出,chut1
齣,chut1
打,da2
呆,daai1
歹,daai2
戴,daai3
帶,daai3
大,daai6
儋,daam1
眈,daam1
聃,daam1
耽,daam1
膽,daam2
淡,daam6
澹,daam6
氮,daam6
丹,daan1
殫,daan1
鄲,daan1
誕,daan3
旦,daan3
撣,daan5
撢,daan5
但,daan6
蛋,daan6
憚,daan6
疍,daan6
瘩,daap3
搭,daap3
答,daap3
蹋,daap6
沓,daap6
踏,daap6
靼,daat3
妲,daat3
繨,daat6
達,daat6
噠,daat6
低,dai1
柢,dai2
底,dai2
骶,dai2
詆,dai2
邸,dai2
帝,dai3
蒂,dai3
締,dai3
碲,dai3
諦,dai3
悌,dai6
棣,dai6
遞,dai6
隸,dai6
逮,dai6
德,dak1
特,dak6
墩,dan2
燉,dan6
蹬,dang1
登,dang1
噔,dang1
燈,dang1
鐙,dang3
磴,dang3
鄧,dang6
瞪,dang6
凸,dat6
突,dat6
兜,dau1
陡,dau2
抖,dau2
蚪,dau2
斗,dau2
痘,dau6
逗,dau6
爹,de1
地,dei6
笛,dek6
糴,dek6
涿,deuk3
琢,deuk3
斲,deuk3
滴,dik1
嫡,dik1
狄,dik6
翟,dik6
滌,dik6
迪,dik6
敵,dik6
店,dim3
踮,dim3
惦,dim3
巔,din1
癲,din1
碘,din1
顛,din1
墊,din2
典,din2
電,din6
澱,din6
佃,din6
殿,din6
甸,din6
靛,din6
奠,din6
汀,ding1
仃,ding1
町,ding1
丁,ding1
盯,ding1
釘,ding1
叮,ding1
鼎,ding2
酊,ding2
碇,ding3
訂,ding3
錠,ding3
啶,ding6
諜,dip6
喋,dip6
蝶,dip6
疊,dip6
牒,dip6
鰈,dip6
耋,dit6
迭,dit6
秩,dit6
雕,diu1
貂,diu1
鯛,diu1
凋,diu1
刁,diu1
丟,diu1
碉,diu1
叼,diu1
屌,diu2
吊,diu3
釣,diu3
弔,diu3
調,diu6
掉,diu6
叨,do1
刀,do1
嘟,do1
倒,do2
搗,do2
堵,do2
賭,do2
島,do2
睹,do2
妒,do3
蠹,do3
到,do2
道,do6
稻,do6
盜,do6
杜,do6
鍍,do6
渡,do6
悼,do6
蹈,do6
導,do6
哆,doh1
多,doh1
跺,doh2
躲,doh2
朵,doh2
剁,doh2
馱,doh6
墮,doh6
玳,doi6
待,doi6
甙,doi6
代,doi6
黛,doi6
靆,doi6
岱,doi6
怠,doi6
殆,doi6
鐸,dok6
踱,dok6
襠,dong1
噹,dong1
當,dong1
鐺,dong1
黨,dong2
擋,dong2
碭,dong6
宕,dong6
盪,dong6
蕩,dong6
菪,dong6
端,duen1
短,duen2
煅,duen3
鍛,duen3
段,duen6
斷,duen6
緞,duen6
奪,duet6
堆,dui1
兌,dui6
隊,dui2
犢,duk6
櫝,duk6
毒,duk6
瀆,duk6
黷,duk6
牘,duk6
獨,duk6
讀,duk6
碡,duk6
髑,duk6
蹲,dun1
敦,dun1
惇,dun1
盹,dun6
噸,dun6
遁,dun6
沌,dun6
頓,dun6
氡,dung1
東,dung1
咚,dung1
董,dung2
懂,dung2
踵,dung2
棟,dung3
侗,dung6
慟,dung6
胴,dung6
洞,dung6
動,dung6
恫,dung6
咄,dut1
欸,ei1
花,fa1
化,fa3
傀,faai3
快,faai3
筷,faai3
塊,faai3
噲,faai3
幡,faan1
番,faan1
旛,faan1
返,faan1
販,faan3
泛,faan3
釩,faan4
凡,faan4
煩,faan4
帆,faan4
藩,faan4
樊,faan4
繁,faan4
蕃,faan4
礬,faan4
梵,faan4
瓣,faan6
飯,faan6
范,faan6
範,faan6
髮,faat3
法,faat3
發,faat3
琺,faat3
揮,fai1
輝,fai1
徽,fai1
暉,fai1
撝,fai1
沸,fai3
費,fai3
狒,fai3
吠,fai6
婚,fan1
氛,fan1
紛,fan1
分,fan1
熏,fan1
燻,fan1
醺,fan1
葷,fan1
昏,fan1
酚,fan1
薰,fan1
吩,fan1
勳,fan1
芬,fan1
訓,fan3
糞,fan3
焚,fan4
汾,fan4
墳,fan4
忿,fan5
奮,fan5
憤,fan5
份,fan6
惚,fat1
囫,fat1
拂,fat1
窟,fat1
氟,fat1
笏,fat1
彿,fat1
佛,fat6
伐,fat6
乏,fat6
筏,fat6
閥,fat6
否,fau2
阜,fau6
緋,fei1
妃,fei1
非,fei1
鯡,fei1
菲,fei1
蜚,fei1
扉,fei1
霏,fei1
誹,fei2
斐,fei2
翡,fei2
榧,fei2
悱,fei2
匪,fei2
腓,fei4
蝌,foh1
科,foh1
伙,foh2
顆,foh2
火,foh2
夥,foh2
貨,foh3
課,foh3
攫,fok3
霍,fok3
謊,fong1
方,fong1
坊,fong1
荒,fong1
肪,fong1
邡,fong1
芳,fong1
幌,fong2
紡,fong2
恍,fong2
彷,fong2
晃,fong2
仿,fong2
訪,fong2
放,fong3
況,fong3
妨,fong4
防,fong4
軤,foo1
呼,foo1
麩,foo1
孵,foo1
膚,foo1
孚,foo1
敷,foo1
俘,foo1
骷,foo1
枯,foo1
夫,foo1
腑,foo2
撫,foo2
釜,foo2
拊,foo2
琥,foo2
俯,foo2
甫,foo2
斧,foo2
府,foo2
苦,foo2
唬,foo2
賦,foo3
庫,foo3
副,foo3
絝,foo3
富,foo3
戽,foo3
乎,foo4
扶,foo4
符,foo4
芙,foo4
婦,foo5
父,foo6
赴,foo6
負,foo6
附,foo6
輔,foo6
腐,foo6
訃,foo6
